person_id,entry_time,exit_time,section_A_in,section_A_out,section_B_in,section_B_out,section_C_in,section_C_out,gender,age,,total_time,A_time,B_time,C_time
31,0:59:37,1:00:47,0:59:41,,,,,,male,60+,,0:01:11,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
32,0:59:37,1:03:07,,,,,,,female,60+,,0:03:29,0:00:00,0:00:00,0:00:00
33,0:59:38,1:00:47,,,,,0:59:41,,male,60+,,0:01:10,0:00:00,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
34,0:59:38,1:00:09,,,,,,,male,20-39,,0:00:31,0:00:00,0:00:00,0:00:00
35,0:59:39,1:00:18,,,,,,,male,60+,,0:00:39,0:00:00,0:00:00,0:00:00
36,0:59:39,1:02:42,0:59:41,1:01:17,,,,,male,20-39,,0:03:03,0:01:37,0:00:00,0:00:00
37,0:59:40,1:01:02,,,,,,,female,60+,,0:01:22,0:00:00,0:00:00,0:00:00
38,0:59:40,1:00:08,,,,,,,female,60+,,0:00:28,0:00:00,0:00:00,0:00:00
40,0:59:41,1:00:56,,,0:59:41,,,,male,20-39,,0:01:16,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
43,0:59:42,1:02:13,,,,,,,male,20-39,,0:02:32,0:00:00,0:00:00,0:00:00
44,0:59:42,1:01:31,1:01:06,,,,0:59:42,1:00:00,male,60+,,0:01:49,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:18
46,0:59:44,1:00:51,,,,,,,male,60+,,0:01:08,0:00:00,0:00:00,0:00:00
47,0:59:46,1:00:46,0:59:46,1:00:21,,,,,male,60+,,0:01:00,0:00:35,0:00:00,0:00:00
48,0:59:47,1:01:27,,,,,,,male,20-39,,0:01:41,0:00:00,0:00:00,0:00:00
51,0:59:48,,,1:02:01,,,0:59:48,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,1:02:01,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
52,0:59:49,1:02:54,1:00:41,,,1:02:21,,,female,60+,,0:03:05,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,1:02:21,0:00:00
56,0:59:51,1:00:42,0:59:53,,,,,,male,60+,,0:00:51,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00
57,0:59:53,,,,1:02:58,1:00:41,,,female,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00
58,0:59:53,1:03:55,,,1:01:39,1:03:14,,,male,60+,,0:04:01,0:00:00,0:01:36,0:00:00
60,0:59:54,1:04:35,,1:03:15,1:04:14,,1:00:25,,male,60+,,0:04:41,1:03:15,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
61,0:59:56,1:02:57,,,1:00:42,1:02:17,,,female,60+,,0:03:01,0:00:00,0:01:35,0:00:00
62,0:59:58,,,,1:02:26,1:02:53,,,female,20-39,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:27,0:00:00
66,1:00:05,1:01:08,,,,,,,male,0-19,,0:01:03,0:00:00,0:00:00,0:00:00
67,1:00:06,1:02:51,,,,,1:01:39,1:02:22,male,20-39,,0:02:46,0:00:00,0:00:00,0:00:43
72,1:00:14,1:01:15,,,,,,,male,20-39,,0:01:00,0:00:00,0:00:00,0:00:00
77,1:00:19,,,,,,1:01:40,1:03:06,male,60+,,???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,0:00:00,0:00:00,0:01:26
